Experiment_Name,Generation,Fitness_Mean,Fitness_Median,Fitness_Std
swap_stages_slots_mutation__partially_matched_crossover,0,0.6779279287727111,0.6768995317676858,0.011395447220311092
swap_stages_slots_mutation__partially_matched_crossover,1,0.698641283739778,0.7009529062824034,0.015648489050951304
swap_stages_slots_mutation__partially_matched_crossover,2,0.7130213585732855,0.7103745174330776,0.015291283869406046
swap_stages_slots_mutation__partially_matched_crossover,3,0.7238724403528631,0.7266528204056664,0.016877794495993907
swap_stages_slots_mutation__partially_matched_crossover,4,0.7290930063736167,0.728941126818013,0.017534622167497273
swap_stages_slots_mutation__partially_matched_crossover,5,0.7383789764186086,0.7382297032362231,0.018465212468968116
swap_stages_slots_mutation__partially_matched_crossover,6,0.7465306957319027,0.7492947663730993,0.018131775059549667
swap_stages_slots_mutation__partially_matched_crossover,7,0.7536336535556739,0.7560437701941256,0.01766534569280355
swap_stages_slots_mutation__partially_matched_crossover,8,0.7611067478691618,0.7640963866611947,0.015759481734395953
swap_stages_slots_mutation__partially_matched_crossover,9,0.7658889295336937,0.7681294056760768,0.016311513986706463
swap_stages_slots_mutation__partially_matched_crossover,10,0.7699360745627555,0.7703707189807731,0.014432887235420749
swap_stages_slots_mutation__partially_matched_crossover,11,0.7751308566497922,0.7750028162927951,0.014554076649206714
swap_stages_slots_mutation__partially_matched_crossover,12,0.7799059645696924,0.7794338435231265,0.01586781584779011
swap_stages_slots_mutation__partially_matched_crossover,13,0.7836185699579641,0.782994004484409,0.014522470676397597
swap_stages_slots_mutation__partially_matched_crossover,14,0.7869088287072132,0.7857938753398264,0.014220717062507996
swap_stages_slots_mutation__partially_matched_crossover,15,0.7903524009212095,0.7884219779865971,0.012655857855979157
swap_stages_slots_mutation__partially_matched_crossover,16,0.792481401595202,0.7911639284253089,0.013471667330825991
swap_stages_slots_mutation__partially_matched_crossover,17,0.7961833625253205,0.793961581296774,0.013290389602084902
swap_stages_slots_mutation__partially_matched_crossover,18,0.7973522710069958,0.7959577555005762,0.013201954066748135
swap_stages_slots_mutation__partially_matched_crossover,19,0.7996437070996583,0.7993841882294643,0.013309977321290923
swap_stages_slots_mutation__partially_matched_crossover,20,0.8019834908531267,0.80131883166689,0.013013097064996572
swap_stages_slots_mutation__partially_matched_crossover,21,0.8041890788621752,0.8033536829637304,0.013414585891260973
swap_stages_slots_mutation__partially_matched_crossover,22,0.8070113843559606,0.8082499432418752,0.013658252893737191
swap_stages_slots_mutation__partially_matched_crossover,23,0.8086749359490342,0.8083485328954182,0.013756768566562265
swap_stages_slots_mutation__partially_matched_crossover,24,0.8099844290959112,0.8097155547999655,0.01319574826853237
swap_stages_slots_mutation__partially_matched_crossover,25,0.8108758420060267,0.8106847401723648,0.013006266590661389
swap_stages_slots_mutation__partially_matched_crossover,26,0.8144188994476764,0.813125990464748,0.01246717622172538
swap_stages_slots_mutation__partially_matched_crossover,27,0.815186238346156,0.8133106655617807,0.012322796724421999
swap_stages_slots_mutation__partially_matched_crossover,28,0.8167797816574957,0.8159002924913001,0.011543417933446756
swap_stages_slots_mutation__partially_matched_crossover,29,0.8189849343939266,0.8202093213925532,0.011068432433795407
swap_stages_slots_mutation__partially_matched_crossover,30,0.8195242198229976,0.8202326999035336,0.011090189017554198
swap_stages_slots_mutation__partially_matched_crossover,31,0.8211920856131641,0.8235225460287177,0.011401752049792971
swap_stages_slots_mutation__partially_matched_crossover,32,0.8229972602610413,0.8246073719274105,0.01068214218213575
swap_stages_slots_mutation__partially_matched_crossover,33,0.8236143180186288,0.8259064393101758,0.010379412315914105
swap_stages_slots_mutation__partially_matched_crossover,34,0.824591042567825,0.8267951174224257,0.01120678646132624
swap_stages_slots_mutation__partially_matched_crossover,35,0.8251977116710763,0.8268693552912643,0.01039722906696082
swap_stages_slots_mutation__partially_matched_crossover,36,0.8260615302024399,0.8268693552912643,0.010633812772806638
swap_stages_slots_mutation__partially_matched_crossover,37,0.8272989954412836,0.8275447878704483,0.009731771016685882
swap_stages_slots_mutation__partially_matched_crossover,38,0.8275802744976415,0.8280183321732268,0.00973464482342496
swap_stages_slots_mutation__partially_matched_crossover,39,0.8278128478137062,0.828356845611808,0.00977570874333306
swap_stages_slots_mutation__partially_matched_crossover,40,0.828379866523669,0.828356845611808,0.00980985411004279
swap_stages_slots_mutation__partially_matched_crossover,41,0.8293326331833123,0.828356845611808,0.009672082563762098
swap_stages_slots_mutation__partially_matched_crossover,42,0.8298057246492158,0.82899809966197,0.009453063151619123
swap_stages_slots_mutation__partially_matched_crossover,43,0.8300695531243287,0.829272637501189,0.00920521390509991
swap_stages_slots_mutation__partially_matched_crossover,44,0.8306116001336145,0.829272637501189,0.008959813984699548
swap_stages_slots_mutation__partially_matched_crossover,45,0.8309882543963156,0.829272637501189,0.008658470913577068
swap_stages_slots_mutation__partially_matched_crossover,46,0.8312431408084093,0.8299850025178126,0.008621849463346064
swap_stages_slots_mutation__partially_matched_crossover,47,0.8313616578664664,0.8304427771498234,0.008541064051369146
swap_stages_slots_mutation__partially_matched_crossover,48,0.8315316187182853,0.8304427771498234,0.008605168136411863
swap_stages_slots_mutation__partially_matched_crossover,49,0.8323593532056804,0.8308679793756584,0.008669819402161947
swap_stages_slots_mutation__partially_matched_crossover,50,0.8323643453337287,0.8308679793756584,0.008663033167173949
swap_stages_slots_mutation__partially_matched_crossover,51,0.8323737935574627,0.8310097027316674,0.008662164308195611
swap_stages_slots_mutation__partially_matched_crossover,52,0.8327835221590362,0.8310097027316674,0.008481008692558092
