Experiment_Name,Generation,Fitness_Mean,Fitness_Median,Fitness_Std
shuffle_mutation__swap_time_slots_crossover,0,0.7121842149715272,0.7071650199994971,0.013285217168505793
shuffle_mutation__swap_time_slots_crossover,1,0.7207137806703869,0.7231929259499228,0.01282624908027114
shuffle_mutation__swap_time_slots_crossover,2,0.73479984174568,0.7332778433350905,0.01343134024030855
shuffle_mutation__swap_time_slots_crossover,3,0.7471306716163337,0.7430142936321116,0.015747138957938573
shuffle_mutation__swap_time_slots_crossover,4,0.7551103277279184,0.7540906504369398,0.014341253631104675
shuffle_mutation__swap_time_slots_crossover,5,0.7618995592481601,0.7607747244708042,0.013868851082896321
shuffle_mutation__swap_time_slots_crossover,6,0.7680317980656954,0.7692158812008392,0.012758791690243064
shuffle_mutation__swap_time_slots_crossover,7,0.7732345128945333,0.7721792160696485,0.011858211351328418
shuffle_mutation__swap_time_slots_crossover,8,0.7775828883944246,0.7747980099454571,0.01274234070655791
shuffle_mutation__swap_time_slots_crossover,9,0.7811232106542386,0.7816089404717291,0.011972097532477072
shuffle_mutation__swap_time_slots_crossover,10,0.782492014075855,0.7816089404717291,0.01245569881925185
shuffle_mutation__swap_time_slots_crossover,11,0.7843321019938218,0.7838381681353894,0.012505199917307044
shuffle_mutation__swap_time_slots_crossover,12,0.7865720541928195,0.7889491298086633,0.012599412725510043
shuffle_mutation__swap_time_slots_crossover,13,0.7884442536098576,0.7894540229885056,0.012580947482277175
shuffle_mutation__swap_time_slots_crossover,14,0.7896385526297113,0.7914244663382595,0.013219858293327717
shuffle_mutation__swap_time_slots_crossover,15,0.7906222484123033,0.7917534723676196,0.013382517305270611
shuffle_mutation__swap_time_slots_crossover,16,0.7924460029659531,0.7926762246556394,0.013621332087756061
shuffle_mutation__swap_time_slots_crossover,17,0.7926460926218251,0.7926762246556394,0.013795864495839501
shuffle_mutation__swap_time_slots_crossover,18,0.7932949537091818,0.7931769971176644,0.013382199703403931
shuffle_mutation__swap_time_slots_crossover,19,0.7950749084148881,0.7978447728010984,0.01295522904896155
shuffle_mutation__swap_time_slots_crossover,20,0.7954148777300717,0.7978447728010984,0.012915971714366856
shuffle_mutation__swap_time_slots_crossover,21,0.7962275989620922,0.7985389946596844,0.012265211968299076
shuffle_mutation__swap_time_slots_crossover,22,0.7966818787895171,0.7985389946596844,0.012579051176626062
shuffle_mutation__swap_time_slots_crossover,23,0.7974620150611356,0.7992999191141605,0.012918307690248775
shuffle_mutation__swap_time_slots_crossover,24,0.7977163429787526,0.7992999191141605,0.012981936142123186
shuffle_mutation__swap_time_slots_crossover,25,0.7980359370439393,0.7992999191141605,0.012799279780490717
shuffle_mutation__swap_time_slots_crossover,26,0.7983363672569791,0.7998034301439874,0.012626248600547216
shuffle_mutation__swap_time_slots_crossover,27,0.7988126158277181,0.8000163313964423,0.012560972975229128
shuffle_mutation__swap_time_slots_crossover,28,0.7989469905652675,0.8000163313964423,0.01252374240724666
shuffle_mutation__swap_time_slots_crossover,29,0.7989469905652675,0.8000163313964423,0.01252374240724666
shuffle_mutation__swap_time_slots_crossover,30,0.7990806101333132,0.8000163313964423,0.01251234620654037
shuffle_mutation__swap_time_slots_crossover,31,0.7996645103941739,0.8005363617189585,0.012560900649633017
shuffle_mutation__swap_time_slots_crossover,32,0.8004584226973835,0.8012301297002691,0.01270942239469179
shuffle_mutation__swap_time_slots_crossover,33,0.8006814093215838,0.8025180991937004,0.012790832719610174
shuffle_mutation__swap_time_slots_crossover,34,0.8008989550835985,0.8027441307397984,0.01292344337607216
shuffle_mutation__swap_time_slots_crossover,35,0.8009675951522386,0.8027441307397984,0.012970658824536144
shuffle_mutation__swap_time_slots_crossover,36,0.8016596254794119,0.8044107974064652,0.012891006029734567
shuffle_mutation__swap_time_slots_crossover,37,0.8018878968941241,0.8044107974064652,0.013004863203009531
shuffle_mutation__swap_time_slots_crossover,38,0.8020103033100884,0.8044107974064652,0.01303150971557332
shuffle_mutation__swap_time_slots_crossover,39,0.802568729556795,0.8044107974064652,0.012665977137313067
shuffle_mutation__swap_time_slots_crossover,40,0.8028991297005447,0.8044107974064652,0.012289706587570108
shuffle_mutation__swap_time_slots_crossover,41,0.8033328518955418,0.8048364196734841,0.012396071704765583
shuffle_mutation__swap_time_slots_crossover,42,0.8033328518955418,0.8048364196734841,0.012396071704765583
shuffle_mutation__swap_time_slots_crossover,43,0.8035676694862136,0.8048364196734841,0.012610254742998372
shuffle_mutation__swap_time_slots_crossover,44,0.8037025901211344,0.8061498231068712,0.012642109790924295
shuffle_mutation__swap_time_slots_crossover,45,0.8037201293651931,0.8064129117677499,0.012647340364471436
shuffle_mutation__swap_time_slots_crossover,46,0.8040396182371237,0.807491451947939,0.012692451027976243
shuffle_mutation__swap_time_slots_crossover,47,0.8044382095372721,0.807491451947939,0.012274902429754637
shuffle_mutation__swap_time_slots_crossover,48,0.8045998847466027,0.807491451947939,0.012171406483353442
shuffle_mutation__swap_time_slots_crossover,49,0.8046502752731837,0.8078181454583251,0.012185343552932921
shuffle_mutation__swap_time_slots_crossover,50,0.8046502752731837,0.8078181454583251,0.012185343552932921
shuffle_mutation__swap_time_slots_crossover,51,0.80513627430749,0.8078181454583251,0.012076359705790208
shuffle_mutation__swap_time_slots_crossover,52,0.8053742155153465,0.8078181454583251,0.012204940032372066
shuffle_mutation__swap_time_slots_crossover,53,0.805571515087646,0.8078181454583251,0.012359892453049864
shuffle_mutation__swap_time_slots_crossover,54,0.805571515087646,0.8078181454583251,0.012359892453049864
